title,disc,digital,id,poster,actors,genres,rating,content_rating,year,duration_str,duration_min,trailer,plot_summary
American Gangster,DVD,no,tt0765429,"https://m.media-amazon.com/images/M/MV5BMjFmZGI2YTEtYmJhMS00YTE5LWJjNjAtNDI5OGY5ZDhmNTRlXkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_QL75_UX190_CR0,2,190,281_.jpg","Denzel Washington, Russell Crowe, Chiwetel Ejiofor","Biography, Crime, Drama",7.8,R,2007,2h 37m,157.0,https://www.youtube.com/embed/BV_nssS6Zkg,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
American History X,DVD,no,tt0120586,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Edward Norton, Edward Furlong, Beverly D'Angelo",Drama,8.5,R,1998,1h 59m,119.0,https://www.youtube.com/embed/XfQYHqsiN5g,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
American Hustle,BR,no,tt1800241,"https://m.media-amazon.com/images/M/MV5BMmM4YzJjZGMtNjQxMy00NjdlLWJjYTItZWZkYzdhOTdhNzFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Christian Bale, Amy Adams, Bradley Cooper","Crime, Drama",7.3,R,2013,2h 18m,138.0,https://www.youtube.com/embed/NqgjPRNRDSY,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
American Made,BR,yes,tt3532216,"https://m.media-amazon.com/images/M/MV5BMTUxNzUwMjk1Nl5BMl5BanBnXkFtZTgwNDkwODI1MjI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Cruise, Domhnall Gleeson, Sarah Wright","Action, Comedy, Crime",7.1,R,2017,1h 55m,115.0,https://www.youtube.com/embed/AEBIJRAkujM,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
American Sniper,DVD,no,tt2179136,"https://m.media-amazon.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Bradley Cooper, Sienna Miller, Kyle Gallner","Action, Biography, Drama",7.3,R,2014,2h 13m,133.0,https://www.youtube.com/embed/99k3u9ay1gs,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
American Wedding,DVD,no,tt0328828,"https://m.media-amazon.com/images/M/MV5BMTAwNTIzNDk1MDVeQTJeQWpwZ15BbWU3MDMwNzAwMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jason Biggs, Alyson Hannigan, Seann William Scott",Comedy,6.3,R,2003,1h 36m,96.0,https://www.youtube.com/embed/idEa4VrYSbw,"It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister."
Anchorman,DVD,no,tt0357413,"https://m.media-amazon.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Will Ferrell, Christina Applegate, Steve Carell",Comedy,7.1,PG-13,2004,1h 34m,94.0,https://www.youtube.com/embed/QvJ1K0_JzFI,"In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor."
Angels & Demons,DVD,no,tt0808151,"https://m.media-amazon.com/images/M/MV5BMjEzNzM2MjgxMF5BMl5BanBnXkFtZTcwNTQ1MTM0Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Hanks, Ewan McGregor, Ayelet Zurer","Action, Mystery, Thriller",6.7,PG-13,2009,2h 18m,138.0,https://www.youtube.com/embed/GPaAwbveFLg,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
Ant-Man,NONE,yes,tt0478970,"https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Paul Rudd, Michael Douglas, Corey Stoll","Action, Adventure, Comedy",7.3,PG-13,2015,1h 57m,117.0,https://www.youtube.com/embed/pWdKf3MneyI,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world."
Ant-Man And The Wasp,BR,yes,tt5095030,"https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Paul Rudd, Evangeline Lilly, Michael Peña","Action, Adventure, Comedy",7.0,PG-13,2018,1h 58m,118.0,https://www.youtube.com/embed/UUkn-enk2RU,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
