title,disc,digital,id,poster,actors,genres,rating,content_rating,year,duration_str,duration_min,trailer,plot_summary
"Day the Earth Stood Still, The",NONE,yes,tt0970416,"https://m.media-amazon.com/images/M/MV5BMTI5NTg1MzU5Nl5BMl5BanBnXkFtZTcwMDU1ODMwMg@@._V1_QL75_UX190_CR0,1,190,281_.jpg","Keanu Reeves, Jennifer Connelly, Kathy Bates","Adventure, Drama, Sci-Fi",5.5,PG-13,2008,1h 44m,104.0,https://www.youtube.com/embed/6QFcZohER3s,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.
Deadpool,NONE,yes,tt1431045,"https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg","Ryan Reynolds, Morena Baccarin, T.J. Miller","Action, Adventure, Comedy",8.0,R,2016,1h 48m,108.0,https://www.youtube.com/embed/Xithigfg7dA,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
Deadpool 2,NONE,yes,tt5463162,"https://m.media-amazon.com/images/M/MV5BMDkzNmRhNTMtZDI4NC00Zjg1LTgxM2QtMjYxZDQ3OWJlMDRlXkEyXkFqcGdeQXVyNTU5MjkzMTU@._V1_QL75_UX190_CR0,2,190,281_.jpg","Ryan Reynolds, Josh Brolin, Morena Baccarin","Action, Adventure, Comedy",7.7,R,2018,1h 59m,119.0,https://www.youtube.com/embed/D86RtevtfrA,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
"Departed, The",DVD,no,tt0407887,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY281_CR0,0,190,281_.jpg","Leonardo DiCaprio, Matt Damon, Jack Nicholson","Crime, Drama, Thriller",8.5,R,2006,2h 31m,151.0,https://www.youtube.com/embed/iQpb1LoeVUc,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Die Another Day,DVD,no,tt0246460,"https://m.media-amazon.com/images/M/MV5BMDlmY2Y2ZWQtNTZjMy00NGRkLTlkMjctMjA1MzdjMmI1NTQ1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,0,190,281_.jpg","Pierce Brosnan, Halle Berry, Rosamund Pike","Action, Adventure, Thriller",6.1,PG-13,2002,2h 13m,133.0,https://www.youtube.com/embed/GTznf1x4khc,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
District 9,DVD,no,tt1136608,"https://m.media-amazon.com/images/M/MV5BYmQ5MzFjYWMtMTMwNC00ZGU5LWI3YTQtYzhkMGExNGFlY2Q0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Sharlto Copley, David James, Jason Cope","Action, Sci-Fi, Thriller",7.9,R,2009,1h 52m,112.0,https://www.youtube.com/embed/DyLUwOcR5pk,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
Divergent,BR,yes,tt1840309,"https://m.media-amazon.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_QL75_UX190_CR0,8,190,281_.jpg","Shailene Woodley, Theo James, Kate Winslet","Action, Adventure, Mystery",6.7,PG-13,2014,2h 19m,139.0,https://www.youtube.com/embed/sutgWjz10sM,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
"Divergent Series: Insurgent, The",NONE,yes,tt2908446,"https://m.media-amazon.com/images/M/MV5BMTgxOTYxMTg3OF5BMl5BanBnXkFtZTgwMDgyMzA2NDE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Shailene Woodley, Ansel Elgort, Theo James","Action, Adventure, Sci-Fi",6.2,PG-13,2015,1h 59m,119.0,https://www.youtube.com/embed/IR-l_TSjlEo,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
Django Unchained,NONE,yes,tt1853728,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","Drama, Western",8.5,R,2012,2h 45m,165.0,https://www.youtube.com/embed/0fUCuvNlOCg,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Doctor Strange,BR,yes,tt1211837,"https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Action, Adventure, Fantasy",7.5,PG-13,2016,1h 55m,115.0,https://www.youtube.com/embed/Lt-U_t2pUHI,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
Doctor Strange in the Multiverse of Madness,NONE,yes,tt9419884,"https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor","Action, Adventure, Fantasy",6.9,PG-13,2022,2h 6m,126.0,https://www.youtube.com/embed/aWzlQ2N6qqg,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
Dodgeball,BR,no,tt0364725,"https://m.media-amazon.com/images/M/MV5BMTIwMzE2MjM4MV5BMl5BanBnXkFtZTYwNjA1OTY3._V1_QL75_UX190_CR0,0,190,281_.jpg","Ben Stiller, Christine Taylor, Vince Vaughn","Comedy, Sport",6.7,PG-13,2004,1h 32m,92.0,https://www.youtube.com/embed/W-XbDZUnUmw,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
Draft Day,DVD,yes,tt2223990,"https://m.media-amazon.com/images/M/MV5BMjAyOTMxMjA3Nl5BMl5BanBnXkFtZTgwMTMwNjQ4MDE@._V1_QL75_UX190_CR0,7,190,281_.jpg","Kevin Costner, Chadwick Boseman, Jennifer Garner","Drama, Sport",6.8,PG-13,2014,1h 50m,110.0,https://www.youtube.com/embed/xpvInmz-EJM,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams."
Drumline,NONE,yes,tt0303933,"https://m.media-amazon.com/images/M/MV5BNzhhY2Y3NDktM2JiYi00YmY0LWEzOGQtMDc4Yzk3ZWIxOTVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Nick Cannon, Zoe Saldana, Orlando Jones","Comedy, Drama, Music",5.9,PG-13,2002,1h 58m,118.0,https://www.youtube.com/embed/N2b1pmWL3j8,A band director recruits a Harlem street drummer to play at a Southern university.
Dumb And Dumber ,BR,no,tt0109686,"https://m.media-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","Jim Carrey, Jeff Daniels, Lauren Holly",Comedy,7.3,PG-13,1994,1h 47m,107.0,https://www.youtube.com/embed/l13yPhimE3o,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
Dune,NONE,yes,tt1160419,"https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Timothée Chalamet, Rebecca Ferguson, Zendaya","Action, Adventure, Drama",8.1,PG-13,2021,2h 35m,155.0,https://www.youtube.com/embed/8g18jFHCLXk,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Easy A,DVD,no,tt1282140,"https://m.media-amazon.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Emma Stone, Amanda Bynes, Penn Badgley","Comedy, Drama, Romance",7.0,PG-13,2010,1h 32m,92.0,https://www.youtube.com/embed/KNbPnqyvItk,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Edge Of Tomorrow,NONE,yes,tt1631867,"https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Cruise, Emily Blunt, Bill Paxton","Action, Adventure, Sci-Fi",7.9,PG-13,2014,1h 53m,113.0,https://www.youtube.com/embed/vw61gCe2oqI,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Elvis,NONE,yes,tt3704428,"https://m.media-amazon.com/images/M/MV5BYzMzNTJjYmMtZTkxNS00MjI4LWI3YmQtOTQ4MDZjZDJlZjQyXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Hanks, Austin Butler, Olivia DeJonge","Biography, Drama, Music",7.3,PG-13,2022,2h 39m,159.0,https://www.youtube.com/embed/wBDLRvjHVOY,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
Elysium,BR,no,tt1535108,"https://m.media-amazon.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Matt Damon, Jodie Foster, Sharlto Copley","Action, Drama, Sci-Fi",6.6,R,2013,1h 49m,109.0,https://www.youtube.com/embed/oIBtePb-dGY,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
"Equalizer 3, The",NONE,yes,tt17024450,"https://m.media-amazon.com/images/M/MV5BODdiMzM2YjctZmU3ZS00MzUwLWJiYTMtMmI2NzIyMTQyOTQ1XkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_QL75_UY281_CR18,0,190,281_.jpg","Denzel Washington, Dakota Fanning, Eugenio Mastrandrea","Action, Crime, Thriller",6.8,R,2023,1h 49m,109.0,https://www.youtube.com/embed/19ikl8vy4zs,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
Equilibrium,NONE,yes,tt0238380,"https://m.media-amazon.com/images/M/MV5BMTkzMzA1OTI3N15BMl5BanBnXkFtZTYwMzUyMDg5._V1_QL75_UY281_CR0,0,190,281_.jpg","Christian Bale, Sean Bean, Emily Watson","Action, Drama, Sci-Fi",7.4,R,2002,1h 47m,107.0,https://www.youtube.com/embed/raleKODYeg0,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state."
Eragon,DVD,no,tt0449010,"https://m.media-amazon.com/images/M/MV5BNzMyMGI1N2UtNzc5YS00OGNkLTg1OTktMTNkMmY2Zjk1NTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ed Speleers, Sienna Guillory, Jeremy Irons","Action, Adventure, Family",5.1,PG,2006,1h 44m,104.0,https://www.youtube.com/embed/MAqm-1zUyno,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king."
Erin Brockovich,NONE,yes,tt0195685,"https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Julia Roberts, Albert Finney, David Brisbin","Biography, Drama",7.4,R,2000,2h 11m,131.0,https://www.youtube.com/embed/ELzu636Xf6Y,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
Eternals,NONE,yes,tt9032400,"https://m.media-amazon.com/images/M/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UX190_CR0,0,190,281_.jpg","Gemma Chan, Richard Madden, Angelina Jolie","Action, Adventure, Fantasy",6.3,PG-13,2021,2h 36m,156.0,https://www.youtube.com/embed/x_me3xsvDgk,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
F9: The Fast Saga,NONE,yes,tt5433138,"https://m.media-amazon.com/images/M/MV5BMjI0NmFkYzEtNzU2YS00NTg5LWIwYmMtNmQ1MTU0OGJjOTMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX190_CR0,10,190,281_.jpg","Vin Diesel, Michelle Rodriguez, Jordana Brewster","Action, Crime, Thriller",5.2,PG-13,2021,2h 23m,143.0,https://www.youtube.com/embed/aSiDu3Ywi8E,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
Face/Off,DVD,no,tt0119094,"https://m.media-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg","John Travolta, Nicolas Cage, Joan Allen","Action, Crime, Sci-Fi",7.3,R,1997,2h 18m,138.0,https://www.youtube.com/embed/S-nDX0BeFoQ,"To foil a terrorist plot, an FBI agent assumes the identity of the criminal who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge."
Fantastic 4 (2005),BR,no,tt0120667,"https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ioan Gruffudd, Michael Chiklis, Chris Evans","Action, Adventure, Fantasy",5.7,PG-13,2005,1h 46m,106.0,https://www.youtube.com/embed/cLFDV72pa-s,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom."
Fantastic Beasts And Where To Find Them,BR,yes,tt3183660,"https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Eddie Redmayne, Katherine Waterston, Alison Sudol","Adventure, Family, Fantasy",7.3,PG-13,2016,2h 12m,132.0,https://www.youtube.com/embed/ViuDsy7yb8M,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Fantastic Beasts: The Crimes Of Grindelwald,NONE,yes,tt4123430,"https://m.media-amazon.com/images/M/MV5BYWVlMDI5N2UtZTIyMC00NjZkLWI5Y2QtODM5NGE5MzA0NmVjXkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Eddie Redmayne, Katherine Waterston, Dan Fogler","Adventure, Family, Fantasy",6.5,PG-13,2018,2h 14m,134.0,https://www.youtube.com/embed/vvFybpmyB9E,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander."
Fast & Furious,DVD,no,tt1013752,"https://m.media-amazon.com/images/M/MV5BYjQ1ZTMxNzgtZDcxOC00NWY5LTk3ZjAtYzRhMDhlNDZlOWEzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Vin Diesel, Paul Walker, Michelle Rodriguez","Action, Crime, Thriller",6.6,PG-13,2009,1h 47m,107.0,https://www.youtube.com/embed/k98tBkRsGl4,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
Fast & Furious 6,NONE,yes,tt1905041,"https://m.media-amazon.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Vin Diesel, Paul Walker, Dwayne Johnson","Action, Crime, Thriller",7.1,PG-13,2013,2h 10m,130.0,https://www.youtube.com/embed/dKi5XoeTN0k,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
"Fast And The Furious, The",DVD,yes,tt0232500,"https://m.media-amazon.com/images/M/MV5BNzlkNzVjMDMtOTdhZC00MGE1LTkxODctMzFmMjkwZmMxZjFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg","Vin Diesel, Paul Walker, Michelle Rodriguez","Action, Crime, Thriller",6.8,PG-13,2001,1h 46m,106.0,https://www.youtube.com/embed/2TAOizOnNPo,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
"Fast And The Furious: Tokyo Drift, The",DVD,no,tt0463985,"https://m.media-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Lucas Black, Zachery Ty Bryan, Shad Moss","Action, Crime, Thriller",6.0,PG-13,2006,1h 44m,104.0,https://www.youtube.com/embed/p8HQ2JLlc4E,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
Fast Five,BR,yes,tt1596343,"https://m.media-amazon.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Vin Diesel, Paul Walker, Dwayne Johnson","Action, Adventure, Crime",7.3,PG-13,2011,2h 10m,130.0,https://www.youtube.com/embed/vcn2GOuZCKI,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
"Fate Of The Furious, The",4K/BR,yes,tt4630562,"https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_QL75_UX190_CR0,10,190,281_.jpg","Vin Diesel, Jason Statham, Dwayne Johnson","Action, Crime, Thriller",6.6,PG-13,2017,2h 16m,136.0,https://www.youtube.com/embed/JwMKRevYa_M,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
"Few Good Men, A",DVD,no,tt0104257,"https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Cruise, Jack Nicholson, Demi Moore","Drama, Thriller",7.7,R,1992,2h 18m,138.0,https://www.youtube.com/embed/cXMNGokxbQA,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
Fight Club,BR,no,tt0137523,"https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Brad Pitt, Edward Norton, Meat Loaf",Drama,8.8,R,1999,2h 19m,139.0,https://www.youtube.com/embed/qtRKdVHc-cE,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Flight,DVD,no,tt1907668,"https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Denzel Washington, Nadine Velazquez, Don Cheadle","Drama, Thriller",7.3,R,2012,2h 18m,138.0,https://www.youtube.com/embed/Aqn2L6kQQt8,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
Ford V Ferrari,NONE,yes,tt1950186,"https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_QL75_UY281_CR0,0,190,281_.jpg","Matt Damon, Christian Bale, Jon Bernthal","Action, Biography, Drama",8.1,PG-13,2019,2h 32m,152.0,https://www.youtube.com/embed/zyYgDtY2AMY,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Forgetting Sarah Marshall,DVD,yes,tt0800039,"https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Kristen Bell, Jason Segel, Paul Rudd","Comedy, Drama, Romance",7.1,R,2008,1h 51m,111.0,https://www.youtube.com/embed/K4xD8ZMdJms,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
Forrest Gump,DVD,no,tt0109830,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg","Tom Hanks, Robin Wright, Gary Sinise","Drama, Romance",8.8,PG-13,1994,2h 22m,142.0,https://www.youtube.com/embed/bLvqoHBptjg,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Four Brothers,DVD,no,tt0430105,"https://m.media-amazon.com/images/M/MV5BMTU4NzM3Njg2NV5BMl5BanBnXkFtZTcwNjU4NDczMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Mark Wahlberg, Tyrese Gibson, André 3000","Action, Crime, Drama",6.8,R,2005,1h 49m,109.0,https://www.youtube.com/embed/YP6s4xoufzg,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
Friday Night Lights,DVD,no,tt0390022,"https://m.media-amazon.com/images/M/MV5BMTcxMDI5MTM4Ml5BMl5BanBnXkFtZTcwNjA4MDcyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Billy Bob Thornton, Jay Hernandez, Derek Luke","Action, Drama, Sport",7.2,PG-13,2004,1h 58m,118.0,https://www.youtube.com/embed/O-mI9GajrBc,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers."
Full Metal Jacket,DVD,no,tt0093058,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio","Drama, War",8.3,R,1987,1h 56m,116.0,https://www.youtube.com/embed/n2i917l5RFc,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Funny People,DVD,no,tt1201167,"https://m.media-amazon.com/images/M/MV5BNWU0ZDllZWEtNWI4ZC00YjIzLTk3YjMtZmE0MmFiNzg4MmRlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adam Sandler, Seth Rogen, Leslie Mann","Comedy, Drama",6.3,R,2009,2h 26m,146.0,https://www.youtube.com/embed/kzciY15Q3BA,"When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship causes him to take a relatively green performer under his wing as his opening act."
Furious 7,NONE,yes,tt2820852,"https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_QL75_UX190_CR0,10,190,281_.jpg","Vin Diesel, Paul Walker, Dwayne Johnson","Action, Crime, Thriller",7.2,PG-13,2015,2h 17m,137.0,https://www.youtube.com/embed/Skpu5HaVkOc,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Fury,DVD,no,tt1392190,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Tom Hardy, Charlize Theron, Nicholas Hoult","Action, Adventure, Sci-Fi",8.1,R,2015,2h,2.0,https://www.youtube.com/embed/q94n3eWOWXM,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
Gangs Of New York,BR,yes,tt0217505,"https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_QL75_UY281_CR1,0,190,281_.jpg","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis","Crime, Drama",7.5,R,2002,2h 47m,167.0,https://www.youtube.com/embed/qHVUPri5tjA,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
Gattaca,NONE,yes,tt0119177,"https://m.media-amazon.com/images/M/MV5BODI3ZTc5NjktOGMyOC00NjYzLTgwZDYtYmQ4NDc1MmJjMjRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg","Ethan Hawke, Uma Thurman, Jude Law","Drama, Sci-Fi, Thriller",7.8,PG-13,1997,1h 46m,106.0,https://www.youtube.com/embed/W_KruQhfvW4,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
Get Him To The Greek,BR,yes,tt1226229,"https://m.media-amazon.com/images/M/MV5BMjIyMzQ0MjExNV5BMl5BanBnXkFtZTcwMzkyMzgxMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jonah Hill, Russell Brand, Elisabeth Moss","Comedy, Music",6.4,R,2010,1h 49m,109.0,https://www.youtube.com/embed/Nadp60OP4D4,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.
